Date,ETH_price
22/09/2020,344.503174
23/09/2020,321.116302
24/09/2020,349.355591
25/09/2020,352.183258
26/09/2020,355.488098
27/09/2020,357.438507
28/09/2020,355.159424
29/09/2020,359.757385
30/09/2020,359.937866
01/10/2020,353.205902
02/10/2020,346.238922
03/10/2020,346.522095
04/10/2020,352.57901
05/10/2020,353.956787
06/10/2020,340.815857
07/10/2020,341.808655
08/10/2020,350.766144
09/10/2020,365.590485
10/10/2020,370.96759
11/10/2020,375.142059
12/10/2020,387.731262
13/10/2020,381.190765
14/10/2020,379.484039
15/10/2020,377.441833
16/10/2020,366.229004
17/10/2020,368.855927
18/10/2020,378.213684
19/10/2020,379.935608
20/10/2020,369.136902
21/10/2020,392.189972
22/10/2020,413.77298
23/10/2020,409.766693
24/10/2020,412.457611
25/10/2020,406.217773
26/10/2020,393.888306
27/10/2020,403.99704
28/10/2020,388.650757
29/10/2020,386.730103
30/10/2020,382.819977
31/10/2020,386.590332
01/11/2020,396.358185
02/11/2020,383.156738
03/11/2020,387.602173
04/11/2020,402.141998
05/11/2020,414.067352
06/11/2020,454.719299
07/11/2020,435.713135
08/11/2020,453.554779
09/11/2020,444.163055
10/11/2020,449.679626
11/11/2020,462.960541
12/11/2020,461.00528
13/11/2020,474.626434
14/11/2020,460.149841
15/11/2020,447.559082
16/11/2020,459.940308
17/11/2020,480.360077
18/11/2020,479.48407
19/11/2020,471.630432
20/11/2020,509.744568
21/11/2020,549.486633
22/11/2020,558.068115
23/11/2020,608.454041
24/11/2020,603.897766
25/11/2020,570.686646
26/11/2020,518.801147
27/11/2020,517.493713
28/11/2020,538.229797
29/11/2020,575.758057
30/11/2020,614.842529
01/12/2020,587.324158
02/12/2020,598.352356
03/12/2020,616.70874
04/12/2020,569.354187
05/12/2020,596.595459
06/12/2020,601.908997
07/12/2020,591.843384
08/12/2020,554.827759
09/12/2020,573.479126
10/12/2020,559.678528
11/12/2020,545.797363
12/12/2020,568.567322
13/12/2020,589.663208
14/12/2020,586.011169
15/12/2020,589.355591
16/12/2020,636.181824
17/12/2020,642.868958
18/12/2020,654.811951
19/12/2020,659.297913
20/12/2020,638.290833
21/12/2020,609.817871
22/12/2020,634.854187
23/12/2020,583.7146
24/12/2020,611.607178
25/12/2020,626.410706
26/12/2020,635.835815
27/12/2020,682.642334
28/12/2020,730.397339
29/12/2020,731.520142
30/12/2020,751.618958
31/12/2020,737.803406
01/01/2021,730.367554
02/01/2021,774.534973
03/01/2021,975.50769
04/01/2021,1040.233032
05/01/2021,1100.006104
06/01/2021,1207.112183
07/01/2021,1225.678101
08/01/2021,1224.197144
09/01/2021,1281.077271
10/01/2021,1262.246704
11/01/2021,1090.145386
12/01/2021,1043.43457
13/01/2021,1130.73938
14/01/2021,1218.453003
15/01/2021,1171.834595
16/01/2021,1233.537598
17/01/2021,1230.172241
18/01/2021,1257.279541
19/01/2021,1377.295898
20/01/2021,1382.274048
21/01/2021,1121.570923
22/01/2021,1236.512207
23/01/2021,1230.990601
24/01/2021,1391.609375
25/01/2021,1324.414795
26/01/2021,1357.058105
27/01/2021,1253.187134
28/01/2021,1332.492188
29/01/2021,1382.522827
30/01/2021,1376.115479
31/01/2021,1314.986206
01/02/2021,1369.040527
02/02/2021,1515.193726
03/02/2021,1660.909546
04/02/2021,1594.762695
05/02/2021,1718.650879
06/02/2021,1677.846802
07/02/2021,1614.227783
08/02/2021,1746.616821
09/02/2021,1768.035034
10/02/2021,1744.243408
11/02/2021,1783.797974
12/02/2021,1843.532593
13/02/2021,1814.109863
14/02/2021,1805.084106
15/02/2021,1779.791016
16/02/2021,1781.067505
17/02/2021,1848.458252
18/02/2021,1937.449219
19/02/2021,1960.164795
20/02/2021,1919.534058
21/02/2021,1935.601074
22/02/2021,1781.99292
23/02/2021,1570.203979
24/02/2021,1626.575684
25/02/2021,1475.703735
26/02/2021,1446.033691
27/02/2021,1459.973145
28/02/2021,1416.04895
01/03/2021,1564.707642
02/03/2021,1492.608765
03/03/2021,1575.853149
04/03/2021,1541.914307
05/03/2021,1533.275024
06/03/2021,1654.741577
07/03/2021,1723.153809
08/03/2021,1834.727905
09/03/2021,1868.048828
10/03/2021,1799.16626
11/03/2021,1826.194946
12/03/2021,1772.102417
13/03/2021,1924.685425
14/03/2021,1854.564331
15/03/2021,1791.702271
16/03/2021,1806.971802
17/03/2021,1823.449341
18/03/2021,1782.855103
19/03/2021,1817.624146
20/03/2021,1812.634644
21/03/2021,1788.217041
22/03/2021,1691.333984
23/03/2021,1678.650146
24/03/2021,1593.413452
25/03/2021,1595.359253
26/03/2021,1702.842041
27/03/2021,1716.494629
28/03/2021,1691.355957
29/03/2021,1819.684937
30/03/2021,1846.033691
31/03/2021,1918.362061
01/04/2021,1977.276855
02/04/2021,2143.225586
03/04/2021,2028.422485
04/04/2021,2093.122803
05/04/2021,2107.887207
06/04/2021,2118.378906
07/04/2021,1971.077271
08/04/2021,2088.57373
09/04/2021,2072.108887
10/04/2021,2135.942139
11/04/2021,2157.656982
12/04/2021,2139.353271
13/04/2021,2299.187744
14/04/2021,2435.10498
15/04/2021,2519.116211
16/04/2021,2431.946533
17/04/2021,2344.89502
18/04/2021,2237.136963
19/04/2021,2166.188721
20/04/2021,2330.210938
21/04/2021,2364.751709
22/04/2021,2403.535156
23/04/2021,2363.586182
24/04/2021,2211.625732
25/04/2021,2316.05957
26/04/2021,2534.481689
27/04/2021,2662.865234
28/04/2021,2746.380127
29/04/2021,2756.876953
30/04/2021,2773.207031
01/05/2021,2945.892822
02/05/2021,2952.056152
03/05/2021,3431.086182
04/05/2021,3253.629395
05/05/2021,3522.783203
06/05/2021,3490.880371
07/05/2021,3484.729004
08/05/2021,3902.647705
09/05/2021,3928.844727
10/05/2021,3952.293945
11/05/2021,4168.701172
12/05/2021,3785.848633
13/05/2021,3715.148438
14/05/2021,4079.057373
15/05/2021,3638.12207
16/05/2021,3587.506104
17/05/2021,3282.397705
18/05/2021,3380.070068
19/05/2021,2460.679199
20/05/2021,2784.294189
21/05/2021,2430.621338
22/05/2021,2295.705566
23/05/2021,2109.579834
24/05/2021,2643.591064
25/05/2021,2706.628906
26/05/2021,2888.69873
27/05/2021,2736.488525
28/05/2021,2419.90625
29/05/2021,2279.51416
30/05/2021,2390.30542
31/05/2021,2714.945313
01/06/2021,2633.518311
02/06/2021,2706.125
03/06/2021,2855.126465
04/06/2021,2688.195068
05/06/2021,2630.576904
06/06/2021,2715.092773
07/06/2021,2590.263184
08/06/2021,2517.438721
09/06/2021,2608.26709
10/06/2021,2471.518555
11/06/2021,2353.768799
12/06/2021,2372.484375
13/06/2021,2508.391602
14/06/2021,2537.891113
15/06/2021,2610.936768
16/06/2021,2367.663574
17/06/2021,2372.001953
18/06/2021,2231.733154
19/06/2021,2178.499023
20/06/2021,2246.364502
21/06/2021,1888.44751
22/06/2021,1874.950073
23/06/2021,1989.736328
24/06/2021,1988.456299
25/06/2021,1813.217285
26/06/2021,1829.239258
27/06/2021,1978.894653
28/06/2021,2079.657471
29/06/2021,2160.768311
30/06/2021,2274.547607
01/07/2021,2113.605469
02/07/2021,2150.040283
03/07/2021,2226.114258
