,USD_KZT Change %,USD_INR Change %,USD_RON Change %,EPU,transactions,VIX,DOWJ,daily_infect_emv_index,CRIX,GOLD,OIL,SP500,IR,Bitcoin,Close,tweets
count,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0
mean,0.02563991323210411,0.010412147505422987,0.008459869848156183,208.20407809110634,299407.3622559653,24.439327548806947,762.2283080260308,15.534989154013008,2498.581041214749,1787.622774666147,53.60950122220915,3746.0269603274132,0.22826464208242864,0.039477950993324226,28630.39386931885,78179091.10629067
std,0.5224027602996445,0.3459744326189877,0.42661204886160414,135.16735747513627,38857.64789348599,10.190059616195027,136.3506225737947,11.13075534810856,1859.1297364380046,106.0195034680506,17.58619666725767,612.0632478336462,0.4348083328709969,1.0568440855785697,19402.85811905179,52525125.66448501
min,-1.98,-1.93,-1.35,22.25,188568.0,12.1,338.56,0.0,379.71,1477.300048828125,-37.630001068115234,2304.919921875,0.04,-1.1398270445811185,4970.788086,15305000.0
25%,-0.18,-0.16,-0.26,106.59,274610.0,17.61,663.18,7.9,729.74,1734.9000244140625,40.599998474121094,3276.02001953125,0.07,-0.711809799409766,9686.441406,32820000.0
50%,0.0,0.01,0.0,165.22,301396.0,22.13,788.9,13.53,1664.49,1793.699951171875,53.13999938964844,3702.25,0.08,-0.333837647519987,23783.029297,63766000.0
75%,0.18,0.18,0.25,273.84,329133.0,27.62,868.45,19.94,4320.14,1864.0,68.80999755859375,4327.16015625,0.09,0.3555993612406377,46880.277344,113560000.0
max,6.97,1.63,1.91,807.66,397384.0,82.69,988.87,68.02,6434.41,2051.5,84.6500015258789,4793.06005859375,1.6,5.239605372680518,67566.828125,363566000.0
