Date,ETH_price,ETH_ret
30/05/2020,242.345596,-0.040681751
31/05/2020,230.975708,0.020868825
01/06/2020,246.99176,-0.029116158
02/06/2020,237.219055,0.017532893
03/06/2020,244.179321,-0.01255931
04/06/2020,244.426392,-0.000439215
05/06/2020,241.221985,0.00573121
06/06/2020,241.93132,-0.001275208
07/06/2020,245.167252,-0.005770364
08/06/2020,246.309906,-0.002019419
09/06/2020,244.911453,0.002472784
10/06/2020,247.444946,-0.004469493
11/06/2020,231.702667,0.028547555
12/06/2020,237.49321,-0.010720165
13/06/2020,238.908844,-0.002581029
14/06/2020,234.1147,0.008803543
15/06/2020,229.928909,0.007835105
16/06/2020,234.416168,-0.008393984
17/06/2020,233.028275,0.002578942
18/06/2020,232.101166,0.001731298
19/06/2020,227.13829,0.00938697
20/06/2020,229.274261,-0.00406495
21/06/2020,228.989822,0.000539123
22/06/2020,242.533188,-0.024954996
23/06/2020,244.142151,-0.002871591
24/06/2020,235.772461,0.01514969
25/06/2020,232.944489,0.005240636
26/06/2020,229.668045,0.006151867
27/06/2020,222.959793,0.012874021
28/06/2020,225.347168,-0.004625552
29/06/2020,228.19487,-0.005453772
30/06/2020,226.315002,0.003592533
01/07/2020,231.113419,-0.009111819
02/07/2020,229.392197,0.003246522
03/07/2020,225.38707,0.007649643
04/07/2020,229.074112,-0.007047014
05/07/2020,227.664597,0.002680511
06/07/2020,241.510223,-0.025640018
07/07/2020,239.075531,0.00440039
08/07/2020,246.670013,-0.013581228
09/07/2020,243.015961,0.006481558
10/07/2020,240.984985,0.003644815
11/07/2020,239.458176,0.002760314
12/07/2020,242.131699,-0.004821979
13/07/2020,239.604584,0.004556527
14/07/2020,240.211487,-0.001098649
15/07/2020,238.423523,0.003244671
16/07/2020,233.640884,0.00880026
17/07/2020,232.773087,0.001616075
18/07/2020,235.48381,-0.005028288
19/07/2020,238.487518,-0.0055046
20/07/2020,236.153168,0.004271878
21/07/2020,245.016724,-0.016001953
22/07/2020,262.190643,-0.02942146
23/07/2020,274.689056,-0.020224168
24/07/2020,279.215424,-0.007098048
25/07/2020,304.056763,-0.037015262
26/07/2020,309.643616,-0.007907463
27/07/2020,321.514099,-0.016337892
28/07/2020,316.657257,0.006610577
29/07/2020,318.190887,-0.002098292
30/07/2020,334.586639,-0.021820857
31/07/2020,345.554657,-0.014008156
01/08/2020,385.199707,-0.047169198
02/08/2020,370.671722,0.016696493
03/08/2020,386.295166,-0.017929818
04/08/2020,389.875488,-0.004006658
05/08/2020,401.590576,-0.012857581
06/08/2020,394.961945,0.00722826
07/08/2020,379.512848,0.01732877
08/08/2020,393.987366,-0.016255812
09/08/2020,391.120453,0.003171768
10/08/2020,395.887573,-0.005261342
11/08/2020,380.384064,0.017349555
12/08/2020,391.02417,-0.011981289
13/08/2020,428.741791,-0.039992215
14/08/2020,437.397827,-0.008680803
15/08/2020,433.354919,0.004032891
16/08/2020,433.786621,-0.000432423
17/08/2020,429.53125,0.004281387
18/08/2020,423.669312,0.005967758
19/08/2020,406.463776,0.01800516
20/08/2020,416.439789,-0.01053037
21/08/2020,389.126343,0.029461585
22/08/2020,395.835144,-0.007423718
23/08/2020,391.384491,0.004910738
24/08/2020,408.144196,-0.018210013
25/08/2020,384.001038,0.026481227
26/08/2020,386.466125,-0.002779034
27/08/2020,382.632629,0.004329431
28/08/2020,395.874664,-0.014775706
29/08/2020,399.921478,-0.004417021
30/08/2020,428.395721,-0.029870395
31/08/2020,435.079742,-0.006723738
01/09/2020,477.05191,-0.039996777
02/09/2020,440.040497,0.035072992
03/09/2020,385.671936,0.057274609
04/09/2020,388.24115,-0.002883527
05/09/2020,335.260071,0.063719732
06/09/2020,353.362274,-0.022838348
07/09/2020,352.673492,0.000847363
08/09/2020,337.602112,0.018967663
09/09/2020,351.110016,-0.017038064
10/09/2020,368.101898,-0.020524838
11/09/2020,374.695587,-0.007710521
12/09/2020,387.183105,-0.01423782
13/09/2020,365.570007,0.024945841
14/09/2020,377.26886,-0.013680403
15/09/2020,364.839203,0.014549461
16/09/2020,365.812286,-0.001156789
17/09/2020,389.019226,-0.026712778
18/09/2020,384.364532,0.00522776
19/09/2020,385.544373,-0.001331064
20/09/2020,371.052826,0.016638625
21/09/2020,341.786072,0.035681383
22/09/2020,344.503174,-0.003438867
23/09/2020,321.116302,0.030530874
24/09/2020,349.355591,-0.036605344
25/09/2020,352.183258,-0.003501009
26/09/2020,355.488098,-0.004056358
27/09/2020,357.438507,-0.002376273
28/09/2020,355.159424,0.002777994
29/09/2020,359.757385,-0.005586375
30/09/2020,359.937866,-0.00021782
01/10/2020,353.205902,0.008199586
02/10/2020,346.238922,0.008652065
03/10/2020,346.522095,-0.000355044
04/10/2020,352.57901,-0.007525523
05/10/2020,353.956787,-0.00169379
06/10/2020,340.815857,0.016430451
07/10/2020,341.808655,-0.001263263
08/10/2020,350.766144,-0.011234613
09/10/2020,365.590485,-0.017977216
10/10/2020,370.96759,-0.006341085
11/10/2020,375.142059,-0.004859789
12/10/2020,387.731262,-0.014335061
13/10/2020,381.190765,0.007388448
14/10/2020,379.484039,0.001948856
15/10/2020,377.441833,0.002343482
16/10/2020,366.229004,0.013097297
17/10/2020,368.855927,-0.00310403
18/10/2020,378.213684,-0.010880471
19/10/2020,379.935608,-0.00197276
20/10/2020,369.136902,0.012522535
21/10/2020,392.189972,-0.026309022
22/10/2020,413.77298,-0.023265642
23/10/2020,409.766693,0.004225472
24/10/2020,412.457611,-0.002842667
25/10/2020,406.217773,0.006620401
26/10/2020,393.888306,0.013385834
27/10/2020,403.99704,-0.011005096
28/10/2020,388.650757,0.016818665
29/10/2020,386.730103,0.002151539
30/10/2020,382.819977,0.004413386
31/10/2020,386.590332,-0.004256396
01/11/2020,396.358185,-0.010836842
02/11/2020,383.156738,0.014711364
03/11/2020,387.602173,-0.005009736
04/11/2020,402.141998,-0.015993228
05/11/2020,414.067352,-0.012691558
06/11/2020,454.719299,-0.040672398
07/11/2020,435.713135,0.018542734
08/11/2020,453.554779,-0.017429095
09/11/2020,444.163055,0.009087316
10/11/2020,449.679626,-0.00536078
11/11/2020,462.960541,-0.012640766
12/11/2020,461.00528,0.001838077
13/11/2020,474.626434,-0.012646023
14/11/2020,460.149841,0.013452646
15/11/2020,447.559082,0.012048902
16/11/2020,459.940308,-0.011851097
17/11/2020,480.360077,-0.018865434
18/11/2020,479.48407,0.000792723
19/11/2020,471.630432,0.007172363
20/11/2020,509.744568,-0.033750786
21/11/2020,549.486633,-0.032604526
22/11/2020,558.068115,-0.006730078
23/11/2020,608.454041,-0.03754057
